beta_f,gamma,beta_m,foyer,CI
0.2,0.05,0.02,0,1
0.2,0.05,0.02,0,2
0.2,0.05,0.02,0,3
0.2,0.05,0.02,0,4
0.2,0.05,0.02,0,5
0.2,0.05,0.02,1,1
0.2,0.05,0.02,1,2
0.2,0.05,0.02,1,3
0.2,0.05,0.02,1,4
0.2,0.05,0.02,1,5
0.2,0.05,0.02,2,1
0.2,0.05,0.02,2,2
0.2,0.05,0.02,2,3
0.2,0.05,0.02,2,4
0.2,0.05,0.02,2,5
0.2,0.05,0.1,0,1
0.2,0.05,0.1,0,2
0.2,0.05,0.1,0,3
0.2,0.05,0.1,0,4
0.2,0.05,0.1,0,5
0.2,0.05,0.1,1,1
0.2,0.05,0.1,1,2
0.2,0.05,0.1,1,3
0.2,0.05,0.1,1,4
0.2,0.05,0.1,1,5
0.2,0.05,0.1,2,1
0.2,0.05,0.1,2,2
0.2,0.05,0.1,2,3
0.2,0.05,0.1,2,4
0.2,0.05,0.1,2,5
0.2,0.05,0.5,0,1
0.2,0.05,0.5,0,2
0.2,0.05,0.5,0,3
0.2,0.05,0.5,0,4
0.2,0.05,0.5,0,5
0.2,0.05,0.5,1,1
0.2,0.05,0.5,1,2
0.2,0.05,0.5,1,3
0.2,0.05,0.5,1,4
0.2,0.05,0.5,1,5
0.2,0.05,0.5,2,1
0.2,0.05,0.5,2,2
0.2,0.05,0.5,2,3
0.2,0.05,0.5,2,4
0.2,0.05,0.5,2,5
0.2,0.2,0.02,0,1
0.2,0.2,0.02,0,2
0.2,0.2,0.02,0,3
0.2,0.2,0.02,0,4
0.2,0.2,0.02,0,5
0.2,0.2,0.02,1,1
0.2,0.2,0.02,1,2
0.2,0.2,0.02,1,3
0.2,0.2,0.02,1,4
0.2,0.2,0.02,1,5
0.2,0.2,0.02,2,1
0.2,0.2,0.02,2,2
0.2,0.2,0.02,2,3
0.2,0.2,0.02,2,4
0.2,0.2,0.02,2,5
0.2,0.2,0.1,0,1
0.2,0.2,0.1,0,2
0.2,0.2,0.1,0,3
0.2,0.2,0.1,0,4
0.2,0.2,0.1,0,5
0.2,0.2,0.1,1,1
0.2,0.2,0.1,1,2
0.2,0.2,0.1,1,3
0.2,0.2,0.1,1,4
0.2,0.2,0.1,1,5
0.2,0.2,0.1,2,1
0.2,0.2,0.1,2,2
0.2,0.2,0.1,2,3
0.2,0.2,0.1,2,4
0.2,0.2,0.1,2,5
0.2,0.2,0.5,0,1
0.2,0.2,0.5,0,2
0.2,0.2,0.5,0,3
0.2,0.2,0.5,0,4
0.2,0.2,0.5,0,5
0.2,0.2,0.5,1,1
0.2,0.2,0.5,1,2
0.2,0.2,0.5,1,3
0.2,0.2,0.5,1,4
0.2,0.2,0.5,1,5
0.2,0.2,0.5,2,1
0.2,0.2,0.5,2,2
0.2,0.2,0.5,2,3
0.2,0.2,0.5,2,4
0.2,0.2,0.5,2,5
0.2,0.6,0.02,0,1
0.2,0.6,0.02,0,2
0.2,0.6,0.02,0,3
0.2,0.6,0.02,0,4
0.2,0.6,0.02,0,5
0.2,0.6,0.02,1,1
0.2,0.6,0.02,1,2
0.2,0.6,0.02,1,3
0.2,0.6,0.02,1,4
0.2,0.6,0.02,1,5
0.2,0.6,0.02,2,1
0.2,0.6,0.02,2,2
0.2,0.6,0.02,2,3
0.2,0.6,0.02,2,4
0.2,0.6,0.02,2,5
0.2,0.6,0.1,0,1
0.2,0.6,0.1,0,2
0.2,0.6,0.1,0,3
0.2,0.6,0.1,0,4
0.2,0.6,0.1,0,5
0.2,0.6,0.1,1,1
0.2,0.6,0.1,1,2
